"index","centro_cod","cliente_cod","plan_mes","programa_tvt","pedido_prv_sol"
"1","D155","7200023250",202001,"C",74.83
"2","D155","7200023250",202001,"T",40.29
"3","D155","7200023250",202003,"T",242.37
"4","D155","7200023253",202001,"C",615.91
"5","D155","7200023253",202001,"T",200.76
"6","D155","7200023253",202002,"C",235.56
"7","D155","7200023253",202002,"T",453.25
"8","D155","7200023253",202003,"C",985.61
"9","D155","7200023253",202003,"T",580.85
"10","D155","7200023255",202001,"T",143.61
"11","D155","7200023255",202002,"T",90.92
"12","D155","7200023255",202003,"C",125
"13","D155","7200023255",202003,"T",155.8
"14","D155","7200023256",202001,"C",405.23
"15","D155","7200023256",202001,"T",628.43
"16","D155","7200023256",202002,"T",829.79
"17","D155","7200023256",202003,"C",808.32
"18","D155","7200023256",202003,"T",851.85
"19","D155","7200023257",202001,"C",73.62
"20","D155","7200023257",202002,"C",165.8
"21","D155","7200023257",202003,"C",84.06
"22","D155","7200023258",202001,"T",307.33
"23","D155","7200023258",202002,"T",479.18
"24","D155","7200023258",202003,"C",169.54
"25","D155","7200023258",202003,"T",946.94
"26","D155","7200023259",202001,"C",40.85
"27","D155","7200023259",202001,"T",191.22
"28","D155","7200023259",202002,"T",206.78
"29","D155","7200023259",202003,"C",200
"30","D155","7200023259",202003,"T",143
"31","D155","7200023261",202001,"C",457.22
"32","D155","7200023261",202001,"T",349.22
"33","D155","7200023261",202002,"C",292.36
"34","D155","7200023261",202002,"T",444.55
"35","D155","7200023261",202003,"C",501.16
"36","D155","7200023261",202003,"T",649.19
"37","D155","7200023263",202001,"C",333.49
"38","D155","7200023263",202001,"T",237.95
"39","D155","7200023263",202002,"C",141.37
"40","D155","7200023263",202002,"T",399.76
"41","D155","7200023263",202003,"C",406.25
"42","D155","7200023263",202003,"T",499.09
"43","D155","7200023264",202001,"C",1044.5
"44","D155","7200023264",202002,"C",534.43
"45","D155","7200023264",202002,"T",137.56
"46","D155","7200023264",202003,"C",1653.45
"47","D155","7200023264",202003,"T",972.96
"48","D155","7200023265",202001,"C",172.23
"49","D155","7200023265",202001,"T",2526.46
"50","D155","7200023265",202002,"T",2713.38
"51","D155","7200023265",202003,"C",1390.57
"52","D155","7200023265",202003,"T",2337.96
"53","D155","7200023266",202001,"T",109.45
"54","D155","7200023266",202002,"T",41.53
"55","D155","7200023269",202001,"T",616.58
"56","D155","7200023269",202002,"T",350.52
"57","D155","7200023269",202003,"T",243.23
"58","D155","7200023270",202001,"C",385.93
"59","D155","7200023270",202001,"T",477.08
"60","D155","7200023270",202002,"C",112.02
"61","D155","7200023270",202002,"T",331.27
"62","D155","7200023270",202003,"C",644.26
"63","D155","7200023270",202003,"T",642.31
"64","D155","7200023273",202001,"T",278.98
"65","D155","7200023273",202002,"T",179.71
"66","D155","7200023273",202003,"T",328.57
"67","D155","7200023274",202001,"C",95.59
"68","D155","7200023274",202001,"T",57.34
"69","D155","7200023274",202002,"T",45.19
"70","D155","7200023274",202003,"T",302.32
"71","D155","7200023275",202001,"T",323.99
"72","D155","7200023275",202002,"T",116.65
"73","D155","7200023275",202003,"T",250.72
"74","D155","7200023276",202001,"T",116.5
"75","D155","7200023276",202002,"T",199.63
"76","D155","7200023276",202003,"C",280.53
"77","D155","7200023276",202003,"T",134.11
"78","D155","7200023279",202001,"C",83.51
"79","D155","7200023279",202001,"T",131.14
"80","D155","7200023279",202002,"T",102.08
"81","D155","7200023279",202003,"C",40.79
"82","D155","7200023280",202001,"C",462.25
"83","D155","7200023280",202001,"T",133.28
"84","D155","7200023280",202002,"C",477.44
"85","D155","7200023280",202002,"T",156.14
"86","D155","7200023280",202003,"C",139.76
"87","D155","7200023280",202003,"T",647.96
"88","D155","7200023281",202001,"T",49.68
"89","D155","7200023281",202002,"C",157.09
"90","D155","7200023281",202003,"C",617.15
"91","D155","7200023282",202001,"C",594
"92","D155","7200023282",202001,"T",610.28
"93","D155","7200023282",202002,"C",622.39
"94","D155","7200023282",202002,"T",244.56
"95","D155","7200023282",202003,"C",434.46
"96","D155","7200023282",202003,"T",1330.98
"97","D155","7200023283",202001,"C",1035.12
"98","D155","7200023283",202002,"C",1223.09
"99","D155","7200023283",202002,"T",79.4
"100","D155","7200023283",202003,"C",2686.78
"101","D155","7200023283",202003,"T",2769.68
"102","D155","7200023285",202001,"C",184.89
"103","D155","7200023285",202001,"T",114.53
"104","D155","7200023285",202002,"C",158.59
"105","D155","7200023285",202002,"T",42.69
"106","D155","7200023285",202003,"C",171.52
"107","D155","7200023285",202003,"T",43.88
"108","D155","7200023286",202001,"C",223.39
"109","D155","7200023286",202001,"T",227.36
"110","D155","7200023286",202002,"C",204.24
"111","D155","7200023286",202002,"T",200.74
"112","D155","7200023286",202003,"C",409.91
"113","D155","7200023287",202001,"C",76.85
"114","D155","7200023287",202001,"T",139.68
"115","D155","7200023287",202002,"C",279.29
"116","D155","7200023287",202002,"T",216.61
"117","D155","7200023287",202003,"C",350.72
"118","D155","7200023287",202003,"T",133.16
"119","D155","7200023290",202001,"C",179.96
"120","D155","7200023290",202002,"C",42.4
"121","D155","7200023290",202002,"T",44.82
"122","D155","7200023290",202003,"C",89.48
"123","D155","7200023290",202003,"T",152.72
"124","D155","7200023292",202001,"C",412.95
"125","D155","7200023292",202001,"T",504.01
"126","D155","7200023292",202002,"C",187.44
"127","D155","7200023292",202002,"T",645.87
"128","D155","7200023292",202003,"C",485.06
"129","D155","7200023292",202003,"T",859.59
"130","D155","7200023293",202001,"C",122.96
"131","D155","7200023293",202001,"T",136.99
"132","D155","7200023293",202002,"C",122.23
"133","D155","7200023293",202002,"T",97.22
"134","D155","7200023293",202003,"C",54
"135","D155","7200023294",202001,"C",122.74
"136","D155","7200023294",202001,"T",66.61
"137","D155","7200023294",202002,"C",83.4
"138","D155","7200023294",202002,"T",183.2
"139","D155","7200023294",202003,"C",282.24
"140","D155","7200023294",202003,"T",321.14
"141","D155","7200023296",202001,"C",112.31
"142","D155","7200023296",202001,"T",40.81
"143","D155","7200023296",202002,"C",63.79
"144","D155","7200023296",202002,"T",51.83
"145","D155","7200023296",202003,"T",40.19
"146","D155","7200023297",202001,"C",242.87
"147","D155","7200023297",202001,"T",59.58
"148","D155","7200023297",202002,"C",368.13
"149","D155","7200023297",202003,"C",220
"150","D155","7200023297",202003,"T",436.38
"151","D155","7200023298",202001,"C",96.42
"152","D155","7200023298",202001,"T",200.48
"153","D155","7200023298",202002,"C",62.95
"154","D155","7200023298",202002,"T",101.32
"155","D155","7200023298",202003,"T",189.15
"156","D155","7200023304",202001,"C",278.36
"157","D155","7200023304",202001,"T",180.27
"158","D155","7200023304",202002,"C",308.39
"159","D155","7200023304",202002,"T",326.95
"160","D155","7200023304",202003,"C",242.18
"161","D155","7200023304",202003,"T",410.75
"162","D155","7200023305",202001,"C",840.33
"163","D155","7200023305",202002,"C",1023.6
"164","D155","7200023305",202003,"C",830.81
"165","D155","7200023305",202003,"T",286.05
"166","D155","7200023307",202001,"C",83.04
"167","D155","7200023309",202001,"T",44.76
"168","D155","7200023310",202001,"C",42.11
"169","D155","7200023310",202001,"T",129.89
"170","D155","7200023310",202002,"T",71.95
"171","D155","7200023310",202003,"T",198.5
"172","D155","7200023311",202001,"C",89.51
"173","D155","7200023311",202001,"T",108.05
"174","D155","7200023311",202003,"C",131.46
"175","D155","7200023312",202001,"T",84.55
"176","D155","7200023312",202002,"T",82.8
"177","D155","7200023317",202001,"C",85.31
"178","D155","7200023317",202002,"C",47.51
"179","D155","7200023317",202002,"T",49.58
"180","D155","7200023317",202003,"T",48.86
"181","D155","7200023320",202001,"C",365.66
"182","D155","7200023320",202001,"T",417.96
"183","D155","7200023320",202002,"T",563
"184","D155","7200023320",202003,"T",339.59
"185","D155","7200023322",202002,"T",88.51
"186","D155","7200023325",202001,"C",183.53
"187","D155","7200023325",202002,"C",124.61
"188","D155","7200023325",202002,"T",89.43
"189","D155","7200023325",202003,"C",64.15
"190","D155","7200023325",202003,"T",207.12
"191","D155","7200023327",202001,"C",252.59
"192","D155","7200023327",202001,"T",193.42
"193","D155","7200023327",202002,"C",122.47
"194","D155","7200023327",202003,"C",724.66
"195","D155","7200023327",202003,"T",423.18
"196","D155","7200023330",202001,"C",326.18
"197","D155","7200023330",202001,"T",433.3
"198","D155","7200023330",202002,"C",184.8
"199","D155","7200023330",202002,"T",457.38
"200","D155","7200023330",202003,"C",450.75
"201","D155","7200023330",202003,"T",696.17
"202","D155","7200023331",202001,"C",55.71
"203","D155","7200023331",202001,"T",44.32
"204","D155","7200023331",202002,"T",195.18
"205","D155","7200023331",202003,"C",46.28
"206","D155","7200023331",202003,"T",160.4
"207","D155","7200023336",202001,"C",44.52
